"","RR.Resp","DET.Resp","NRLINE.Resp","maxL.Resp","L.Resp","ENTR.Resp","rENTR.Resp","LAM.Resp","TT.Resp","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","condition","group1","group2"
"1",6.87395399884488,96.1060450009747,93523,24,6.69490927365461,2.50715219304566,0.799603513956,98.6604696568058,43.7109826589595,0.415454782059669,90.4337926202709,6692,40,4.62925881649731,2.11232853685519,0.609489180969843,93.9952125175152,5.90590608950844,"Synchronous","G1","G2"
"2",3.03589466598583,96.9551513444032,46934,43,5.86587548472323,2.38593786585605,0.638349054230176,99.7851772287863,17.2037037037037,0.0896539071445716,85.1597860375806,1644,18,3.77676399026764,1.79999375240244,0.649210515055528,92.0175558908243,4.83705839942322,"TurnTaking","G1","G2"
"3",3.45749964814762,75.8807116830149,24956,29,3.84685045680397,1.81270943151444,0.556370693857719,86.8839760664575,4.18387698397594,0.197658757957652,81.9127173542448,1483,13,3.24005394470668,1.51034769335258,0.607808624714909,88.254347084896,4.01317829457364,"SelfPaced","G1","G2"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G1","G2"
"5",3.83475170543912,79.0489367096981,43037,28,3.33222575923043,1.58226003328485,0.497870746610866,91.8073179067127,4.98951499355921,0.286838262708567,93.2402580189096,1524,87,6.9238845144357,2.45368636815124,0.633830783066414,96.7835998939648,10.2845070422535,"Synchronous","G2","G7"
"6",3.01428098916279,83.5642772449502,37967,18,3.13706639976822,1.46498714175363,0.517076183065078,96.1769720271379,7.12669612685209,0.097051973398579,87.6404494382023,881,18,3.80703745743473,1.76223413538623,0.667751365463191,94.0945910634962,5.96192052980132,"TurnTaking","G2","G7"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G2","G7"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G2","G7"
"9",2.04210353285565,78.9800563206419,16800,10,3.65607142857143,1.55827400561477,0.709201062871745,92.0058120845067,20.2696883852691,0.170403878738297,86.9786752217399,1354,13,3.403988183161,1.61494953921664,0.649903504163596,94.1875825627477,5.34368308351178,"Synchronous","G3","G2"
"10",1.59501072385066,83.3222051267164,18029,7,3.18398136335903,1.41705749497773,0.790874846381161,99.7851772287863,17.2037037037037,0.0839722689978861,91.0333333333333,589,29,4.63667232597623,2.08960460582956,0.709678353198923,96.2666666666667,6.76346604215457,"TurnTaking","G3","G2"
"11",3.66970021036139,79.5143021693223,32893,27,3.77761225792722,1.78218680025993,0.553667459456253,87.3667370576566,4.16904849151093,0.132822370131292,84.7537473233405,1222,12,3.23895253682488,1.52314981356129,0.635202809246859,91.8201284796574,4.20804710500491,"SelfPaced","G3","G2"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G3","G2"
"13",3.65757665449999,74.8345928011129,34156,18,3.3545204356482,1.59598018217099,0.563310978864049,79.4673006459535,3.6819488576184,0.151112187441834,48.2897770945427,949,8,2.64805057955743,1.08123244843722,0.555643562968275,91.0453497309762,6.78796561604585,"Synchronous","G4","G8"
"14",4.01972787942541,87.8151443368835,38822,33,3.63816907938798,1.72616467848006,0.53626320877126,92.9078146469451,4.26997371128129,0.0285611212576913,54.8663101604278,203,6,2.52709359605911,0.960650470400265,0.596885697160809,86.3101604278075,5.38,"TurnTaking","G4","G8"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G4","G8"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G4","G8"
"17",3.48961293332598,80.8188887976122,33063,24,3.57066811844055,1.70832250486668,0.54483356919874,90.4494920452367,4.2327406695499,2.39723630792622,95.3280197683996,12723,23,6.18556944116954,2.19868494988906,0.746724576547854,97.383594166384,7.00313588850174,"Synchronous","G5","G4"
"18",3.58446292037895,85.0609734840298,35996,28,3.38918213134793,1.60848587664742,0.528321242345708,93.6990580311387,3.90089985486212,0.253353946215285,78.1649385097661,1756,12,3.69191343963554,1.75518564634758,0.731969267489843,86.0019291053774,4.62581063553826,"TurnTaking","G5","G4"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G5","G4"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G5","G4"
"21",3.12666700589079,81.6859332380829,29095,25,3.67461763189551,1.74295717031682,0.555879568031774,89.9299374250285,4.16146938198275,0.0417562116720517,68.4979137691238,379,8,2.59894459102902,1.05417489899333,0.541738733160469,92.7677329624479,4.49158249158249,"Synchronous","G6","G4"
"22",3.59033609822553,84.8118447980621,37509,23,3.2482604174998,1.53036172631144,0.519746456672939,93.6139999164683,3.79533781114184,0.035709038235552,73.2249786142002,279,7,3.06810035842294,1.40603429626809,0.784722682042724,90.1625320786997,4.48510638297872,"TurnTaking","G6","G4"
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G6","G4"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G6","G4"
"25",3.63457142444773,81.4965339399347,49550,22,3.35489404641776,1.59534960284527,0.541817851934872,93.3443802763043,5.69537255840388,0.505028526764326,75.082212879324,6204,12,2.90731785944552,1.30418394483173,0.543886949370282,79.6403446696915,3.06209987195903,"Synchronous","G7","G5"
"26",2.99433676261248,75.8633001481728,45500,19,2.80189010989011,1.21861911864063,0.421613280475599,90.7311644956471,3.48792148968294,0.229042409320124,81.9274896741625,2788,12,3.20157819225251,1.39182526828438,0.60446203378942,87.3703533731069,3.85853263072558,"TurnTaking","G7","G5"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G7","G5"
"28",3.69481559777063,80.4517768700659,51081,27,3.26587185059024,1.52060689819521,0.466716342026692,91.200285495204,3.76424689981887,0.036810762617672,58.5379782981154,373,10,2.74798927613941,1.17747626729759,0.535892543458209,66.3049685893775,3.13783783783784,"Conversation","G7","G5"
"29",3.65028729574936,81.4624621692863,44891,28,3.71753803657749,1.77352881899441,0.550977706344737,88.3173874841355,5.32608183691493,9.72064814692182,97.6283986608649,40277,278,11.2079350497803,2.84905486325426,0.549821279797313,99.0652871614315,23.4484770923983,"Synchronous","G8","G6"
"30",4.0058187924402,79.4744965816034,55681,25,3.20879653741851,1.4870559937,0.474265264514078,90.2158682994311,4.19754542820481,0.0998999108847386,77.6304713804714,1143,10,3.22747156605424,1.49169405718589,0.678899222488365,81.2920875420875,3.3017094017094,"TurnTaking","G8","G6"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G8","G6"
"32",4.87140336850636,76.4293630734004,66982,28,3.11950971902899,1.4418789039168,0.447944867204014,88.835770014375,4.20559663370794,1.0689206373833,85.3066121228808,8723,56,4.97248652986358,2.01442440609294,0.502684531826888,87.35397081383,5.9158231220032,"Conversation","G8","G6"
"33",4.39680900102474,80.2959198560521,55285,24,3.58388351270688,1.70894609121018,0.552870469104513,94.105513138485,6.01473825990105,0.191138465859437,78.0246370435548,2378,10,2.98317914213625,1.34449029026914,0.611903901010939,81.0162780466344,3.08071936428273,"Synchronous","G9","G5"
"34",3.69985821860777,74.2157174367421,52077,23,2.95913743111162,1.33086447756851,0.43713406775339,92.2669787422583,3.78424556066921,0.119261825431213,77.7895293495505,1032,81,4.27616279069767,1.82476615015865,0.560071234496556,83.6065573770492,5.38977272727273,"TurnTaking","G9","G5"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G9","G5"
"36",3.7517455397306,77.0842634193604,51995,27,3.12153091643427,1.44025474077847,0.447440292555381,91.7455854555126,3.98814955509218,0.0123193071924362,60.580204778157,124,8,2.86290322580645,1.22900238550783,0.631582288680941,63.481228668942,3.07438016528926,"Conversation","G9","G5"
